date,year,month,day,1329 iシェアーズ・コア 日経225ETF,1364 ｉシェアーズ JPX日経400 ETF,1369 One ETF 日経225,1385 UBS ETF ユーロ圏大型株50(E･ストックス50),1386 UBS ETF 欧州株(MSCIヨーロッパ),1389 UBS ETF 英国大型株100(FTSE 100),1390 UBS ETF MSCIアジア太平洋株(除く日本),1391 UBS ETF スイス株(MSCIスイス20/35),1392 UBS ETF 英国株(MSCI英国),1458 楽天 ETF-日経レバレッジ指数連動型,1459 楽天 ETF-日経ダブルインバース指数連動型,1473 One ETF トピックス,1474 One ETF JPX日経400,1475 iシェアーズ・コア TOPIX ETF,1476 iシェアーズ・コア Ｊリート ETF,1477 iシェアーズ MSCI 日本株最小分散 ETF,1478 iシェアーズ MSCI ジャパン高配当利回り ETF,1482 iシェアーズ・コア 米国債7-10年ETF(H有),1483 iシェアーズ JPX/S&P 設備･人材投資ETF,1484 One ETF JPX/S&P 設備･人材投資指数,1489 (NEXT FUNDS)日経平均高配当株50指数連動型ETF,1493 One ETF JPX日経中小型,1494 One ETF 高配当日本株,1496 iシェアーズ 米ドル建て投資適格社債ETF(H有),1497 iシェアーズ 米ドル建ハイイールド社債ETF(H有),1498 One ETF ESG,1552 国際のETF VIX短期先物指数,1557 SPDR S&P500 ETF,1575 ChinaAMC CSI 300 Index ETF-JDR,1576 南方 FTSE 中国A株 50 ETF,1577 (NEXT FUNDS)野村日本株高配当70連動型ETF,1655 iシェアーズ S&P500 米国株 ETF,1656 iシェアーズ･コア　米国債7-10年 ETF,1657 iシェアーズ･コア MSCI 先進国株(除く日本)ETF,1658 iシェアーズ･コア MSCI 新興国株 ETF,1659 iシェアーズ 米国リート ETF,1683 One ETF 国内金先物,2516 東証マザーズETF,富士通(株)：前日比,富士通(株)：翌日比
2019-10-24,2019,10,24,100.0,90.0,110.0,10.0,30.0,120.0,10.0,-10.0,23.0,130.0,-40.0,6.0,70.0,4.0,-10.0,-1.0,15.0,-1.0,22.0,4.0,300.0,50.0,130.0,0.0,7.0,60.0,-170.0,200.0,2.0,3.0,160.0,17.0,7.0,13.0,12.0,16.0,70.0,7.0,152.0,37.0
2019-10-23,2019,10,23,110.0,50.0,110.0,-10.0,20.0,-30.0,-60.0,-10.0,9.0,100.0,-30.0,11.0,80.0,11.0,3.0,15.0,7.0,-1.0,18.0,9.0,200.0,140.0,180.0,-6.0,-3.0,60.0,20.0,-50.0,-4.0,0.0,150.0,-3.0,0.0,-4.0,1.0,8.0,-30.0,10.0,27.0,152.0
2019-10-21,2019,10,21,50.0,70.0,60.0,40.0,30.0,40.0,70.0,33.0,-10.0,60.0,-25.0,7.0,70.0,6.0,22.0,10.0,12.0,-2.0,-22.0,7.0,200.0,130.0,120.0,2.0,0.0,90.0,-150.0,50.0,-2.0,0.0,140.0,-1.0,-6.0,1.0,4.0,14.0,-10.0,6.0,61.0,27.0
2019-10-18,2019,10,18,50.0,-40.0,20.0,-5.0,-30.0,-10.0,10.0,1.0,20.0,40.0,-15.0,-2.0,-40.0,-2.0,-7.0,-9.0,-4.0,-2.0,2.0,-8.0,-50.0,-30.0,-10.0,4.0,1.0,-40.0,-10.0,0.0,-3.0,13.0,-30.0,1.0,1.0,3.0,1.0,-4.0,0.0,0.0,-63.0,61.0
2019-10-17,2019,10,17,10.0,-30.0,30.0,10.0,60.0,50.0,10.0,-28.0,10.0,0.0,0.0,-7.0,-40.0,-5.0,-5.0,-9.0,-7.0,4.0,8.0,-5.0,0.0,20.0,-20.0,1.0,0.0,-30.0,-190.0,50.0,-2.0,6.0,-80.0,1.0,4.0,2.0,13.0,8.0,10.0,-2.0,5.0,-63.0
2019-10-16,2019,10,16,250.0,90.0,230.0,55.0,90.0,130.0,20.0,5.0,0.0,250.0,-95.0,10.0,90.0,4.0,20.0,9.0,5.0,-8.0,28.0,8.0,100.0,60.0,70.0,-8.0,11.0,100.0,-400.0,150.0,5.0,3.0,120.0,15.0,-3.0,19.0,3.0,11.0,10.0,-6.0,11.0,5.0
2019-10-15,2019,10,15,450.0,210.0,440.0,110.0,120.0,220.0,0.0,9.0,78.0,440.0,-155.0,26.0,210.0,31.0,0.0,27.0,34.0,-6.0,5.0,24.0,400.0,190.0,340.0,8.0,7.0,180.0,-250.0,400.0,5.0,-24.0,370.0,24.0,-3.0,26.0,21.0,11.0,-75.0,6.0,-47.0,11.0
2019-10-11,2019,10,11,230.0,140.0,260.0,50.0,200.0,210.0,15.0,0.0,37.0,220.0,-100.0,15.0,170.0,14.0,-5.0,11.0,27.0,-17.0,0.0,12.0,450.0,60.0,170.0,-18.0,0.0,180.0,-410.0,550.0,14.0,0.0,380.0,40.0,-6.0,30.0,25.0,10.0,0.0,-12.0,37.0,-47.0
2019-10-10,2019,10,10,90.0,-20.0,90.0,15.0,-70.0,0.0,-40.0,-10.0,-5.0,100.0,-30.0,-1.0,20.0,0.0,-18.0,-22.0,3.0,-18.0,0.0,-1.0,150.0,-110.0,-50.0,-16.0,-24.0,20.0,-70.0,300.0,9.0,7.0,-130.0,18.0,-6.0,11.0,25.0,3.0,70.0,-12.0,49.0,37.0
2019-10-09,2019,10,9,-150.0,-20.0,-190.0,-35.0,-60.0,-150.0,75.0,-9.0,-14.0,-150.0,60.0,-7.0,-90.0,-6.0,18.0,18.0,-9.0,8.0,7.0,-4.0,-250.0,10.0,10.0,3.0,-10.0,-70.0,540.0,-650.0,-8.0,2.0,30.0,-41.0,1.0,-28.0,-24.0,-16.0,-70.0,-7.0,46.0,49.0
